content_key,genre
movies_10192,Comedy
movies_10192,Adventure
movies_10192,Fantasy
movies_10192,Animation
movies_10192,Family
movies_27205,Action
movies_27205,Science Fiction
movies_27205,Adventure
movies_12444,Adventure
movies_12444,Fantasy
movies_38757,Animation
movies_38757,Family
movies_38757,Adventure
movies_10191,Fantasy
movies_10191,Adventure
movies_10191,Animation
movies_10191,Family
movies_11324,Drama
movies_11324,Thriller
movies_11324,Mystery
movies_38575,Action
movies_38575,Adventure
movies_38575,Drama
movies_38575,Family
movies_10138,Adventure
movies_10138,Action
movies_10138,Science Fiction
movies_38365,Comedy
movies_48650,Drama
movies_48650,Romance
movies_20352,Animation
movies_20352,Family
movies_20352,Comedy
movies_10193,Animation
movies_10193,Family
movies_10193,Comedy
movies_24021,Adventure
movies_24021,Fantasy
movies_24021,Drama
movies_24021,Romance
movies_12155,Family
movies_12155,Fantasy
movies_12155,Adventure
movies_73861,Crime
movies_73861,Horror
movies_73861,Thriller
movies_38234,Action
movies_38234,Thriller
movies_38234,Crime
movies_38234,Drama
movies_37799,Drama
movies_61979,Romance
movies_61979,Drama
movies_32657,Adventure
movies_32657,Fantasy
movies_32657,Family
movies_23168,Crime
movies_23168,Drama
movies_23168,Thriller
movies_34851,Science Fiction
movies_34851,Action
movies_34851,Thriller
movies_38055,Animation
movies_38055,Action
movies_38055,Comedy
movies_38055,Family
movies_38055,Science Fiction
movies_10140,Adventure
movies_10140,Family
movies_10140,Fantasy
movies_27578,Thriller
movies_27578,Adventure
movies_27578,Action
movies_18823,Adventure
movies_18823,Fantasy
movies_18823,Action
movies_44214,Drama
movies_44214,Thriller
movies_44214,Horror
movies_23483,Action
movies_23483,Crime
movies_20526,Adventure
movies_20526,Action
movies_20526,Science Fiction
movies_52629,Action
movies_52629,Crime
movies_52629,Western
movies_52629,Comedy
movies_52629,Drama
movies_26389,Action
movies_26389,Crime
movies_26389,Thriller
movies_10196,Action
movies_10196,Adventure
movies_10196,Fantasy
movies_27581,Action
movies_27581,Comedy
movies_27581,Crime
movies_27581,Thriller
movies_47931,Drama
movies_47931,Action
movies_47931,Crime
movies_9543,Adventure
movies_9543,Fantasy
movies_9543,Action
movies_22538,Action
movies_22538,Comedy
movies_22538,Romance
movies_22894,Horror
movies_22894,Action
movies_22894,Fantasy
movies_51608,Action
movies_51608,Thriller
movies_51608,Crime
movies_43947,Thriller
movies_43947,Crime
movies_43947,Horror
movies_44115,Adventure
movies_44115,Drama
movies_44115,Thriller
movies_39514,Action
movies_39514,Adventure
movies_39514,Comedy
movies_39514,Crime
movies_39514,Thriller
movies_573531,Animation
movies_573531,War
movies_573531,Action
movies_573531,Science Fiction
movies_35552,Fantasy
movies_35552,Adventure
movies_35552,Action
movies_35552,Mystery
movies_27576,Action
movies_27576,Mystery
movies_27576,Thriller
movies_46738,Drama
movies_46738,War
movies_46738,Mystery
movies_44918,Action
movies_44918,Thriller
movies_44918,Romance
movies_44918,Adventure
movies_43949,Romance
movies_43949,Drama
movies_43347,Drama
movies_43347,Comedy
movies_43347,Romance
movies_35019,Comedy
movies_35019,Fantasy
movies_35019,Family
movies_43593,Comedy
movies_43593,Horror
movies_44683,Animation
movies_44683,Adventure
movies_44683,Family
movies_44683,Fantasy
movies_20504,Action
movies_20504,Thriller
movies_20504,Science Fiction
movies_7978,Horror
movies_7978,Thriller
movies_48466,Animation
movies_48466,Comedy
movies_48466,Family
movies_34544,Action
movies_34544,Comedy
movies_34544,Crime
movies_38167,Drama
movies_38167,Romance
movies_72641,Science Fiction
movies_72641,Animation
movies_26022,Drama
movies_26022,Romance
movies_50723,Adventure
movies_50723,Action
movies_50723,Animation
movies_49797,Thriller
movies_49797,Horror
movies_51620,Action
movies_51620,Thriller
movies_51620,Science Fiction
movies_46705,Drama
movies_46705,Romance
movies_33217,Comedy
movies_33217,Family
movies_20662,Action
movies_20662,Adventure
movies_20662,History
movies_20662,Drama
movies_51739,Fantasy
movies_51739,Animation
movies_51739,Family
movies_25195,Romance
movies_25195,Comedy
movies_27022,Fantasy
movies_27022,Adventure
movies_27022,Action
movies_34016,Romance
movies_34016,Comedy
